mass_A
t,x,y,v
0.000000000E0,1.432913238E-3,3.866635034E-1,
3.336666667E-2,3.690572931E-3,3.869929832E-1,1.123222951E-1
6.673333333E-2,8.924315387E-3,3.869155555E-1,2.056638451E-1
1.001000000E-1,1.688338960E-2,3.832094445E-1,3.282336993E-1
1.334666667E-1,2.756720183E-2,3.754162666E-1,4.228146236E-1
1.668333333E-1,4.142973022E-2,3.692950570E-1,4.942652590E-1
2.002000000E-1,5.796850235E-2,3.626216157E-1,5.718090736E-1
2.335666667E-1,7.718083208E-2,3.559553775E-1,6.687302978E-1
2.669333333E-1,9.941059348E-2,3.460660524E-1,7.781297403E-1
3.003000000E-1,1.242508129E-1,3.340270829E-1,8.703952205E-1
3.336666667E-1,1.516272585E-1,3.206256428E-1,9.660148398E-1
3.670333333E-1,1.819606292E-1,3.052979401E-1,1.071142799E0
4.004000000E-1,2.146599089E-1,2.869149878E-1,1.202285066E0
4.337666667E-1,2.484306932E-1,2.603648447E-1,1.343447730E0
4.671333333E-1,2.868344514E-1,2.337318125E-1,1.459135781E0
5.005000000E-1,3.270225596E-1,2.028772931E-1,1.602078593E0
5.338666667E-1,3.715269468E-1,1.684833141E-1,1.720853346E0
5.672333333E-1,4.205916996E-1,1.362991691E-1,1.826692501E0
6.006000000E-1,4.775102839E-1,1.082549634E-1,1.931947631E0
6.339666667E-1,5.391646309E-1,8.568104689E-2,1.981826139E0
6.673333333E-1,6.051640297E-1,7.367743006E-2,2.036471643E0
7.007000000E-1,6.733115502E-1,6.391958838E-2,2.055505171E0
7.340666667E-1,7.418264035E-1,6.187913641E-2,2.048156765E0
7.674333333E-1,8.099914988E-1,6.359747035E-2,2.039042505E0
8.008000000E-1,8.776992000E-1,6.924123046E-2,1.996156466E0
8.341666667E-1,9.414387827E-1,8.519752219E-2,1.935562530E0
8.675333333E-1,1.001936941E0,1.045821236E-1,1.870851813E0
9.009000000E-1,1.058696564E0,1.280656933E-1,1.787108431E0
9.342666667E-1,1.110481614E0,1.539878979E-1,1.688824752E0
9.676333333E-1,1.160834000E0,1.757043147E-1,1.594817010E0
1.001000000E0,1.208656952E0,1.950781180E-1,1.507431997E0
1.034366667E0,1.255282500E0,2.103313052E-1,1.434536137E0
1.067733333E0,1.299668332E0,2.247669289E-1,1.363644868E0
1.101100000E0,1.342350399E0,2.367941881E-1,1.298136231E0
1.134466667E0,1.383006533E0,2.484168903E-1,
