mass_B
t,x,y,v
0.000000000E0,8.023734424E-4,3.878515394E-1,
3.336666667E-2,8.581682359E-4,3.878423002E-1,6.421296333E-3
6.673333333E-2,9.269168214E-4,3.882615560E-1,1.090257065E-1
1.001000000E-1,7.717536247E-3,3.854165764E-1,3.142169791E-1
1.334666667E-1,1.996137414E-2,3.794650931E-1,4.709236239E-1
1.668333333E-1,3.650446790E-2,3.728100266E-1,5.280214461E-1
2.002000000E-1,5.086323131E-2,3.625330111E-1,5.592480133E-1
2.335666667E-1,7.012698595E-2,3.566129648E-1,1.042925919E0
2.669333333E-1,1.142021517E-1,3.336876988E-1,1.164184707E0
3.003000000E-1,1.409150188E-1,3.246007947E-1,9.265643143E-1
3.336666667E-1,1.713479307E-1,3.100731725E-1,1.085344327E0
3.670333333E-1,2.042873787E-1,2.895315407E-1,1.205574857E0
4.004000000E-1,2.383946107E-1,2.656066498E-1,1.318869507E0
4.337666667E-1,2.764731672E-1,2.391785630E-1,1.468507629E0
4.671333333E-1,3.198196224E-1,2.110754142E-1,1.622655443E0
5.005000000E-1,3.641212770E-1,1.755900828E-1,1.751313950E0
5.338666667E-1,4.142374621E-1,1.421979412E-1,1.889616707E0
5.672333333E-1,4.716659529E-1,1.097458803E-1,1.994616354E0
6.006000000E-1,5.355940032E-1,8.751550024E-2,2.060162931E0
6.339666667E-1,6.042559664E-1,7.339946288E-2,2.105776895E0
6.673333333E-1,6.745763382E-1,6.674701550E-2,2.114291306E0
7.007000000E-1,7.451258358E-1,6.545503584E-2,2.119593628E0
7.340666667E-1,8.159424452E-1,6.194778135E-2,2.114223545E0
7.674333333E-1,8.861684821E-1,6.907855860E-2,2.083398738E0
8.008000000E-1,9.527217052E-1,8.687508891E-2,2.009777393E0
8.341666667E-1,1.013165674E0,1.122023135E-1,1.907064158E0
8.675333333E-1,1.070065628E0,1.361368381E-1,1.818495642E0
9.009000000E-1,1.124080813E0,1.614434768E-1,1.734634800E0
9.342666667E-1,1.175653163E0,1.835834212E-1,1.645379628E0
9.676333333E-1,1.226123606E0,2.019857342E-1,1.565663688E0
1.001000000E0,1.274158120E0,2.184151998E-1,1.493298118E0
1.034366667E0,1.320697990E0,2.333920810E-1,1.414901491E0
1.067733333E0,1.364606542E0,2.455154878E-1,1.347895865E0
1.101100000E0,1.407576413E0,2.566958827E-1,
