mass_C
t,x,y,v
0.000000000E0,4.176169170E-4,3.883645481E-1,
3.336666667E-2,5.288131123E-4,3.885502913E-1,8.015515954E-2
6.673333333E-2,5.363027602E-3,3.904029148E-1,1.928951583E-1
1.001000000E-1,1.310769557E-2,3.858164438E-1,3.292560316E-1
1.334666667E-1,2.177432400E-2,3.757928626E-1,3.996238461E-1
1.668333333E-1,3.478385831E-2,3.702813696E-1,4.700972870E-1
2.002000000E-1,5.071057848E-2,3.636749918E-1,5.627464876E-1
2.335666667E-1,6.968891953E-2,3.564272806E-1,6.439814312E-1
2.669333333E-1,9.098897182E-2,3.486915337E-1,7.556304935E-1
3.003000000E-1,1.155542400E-1,3.354719043E-1,8.763843719E-1
3.336666667E-1,1.428114342E-1,3.215840339E-1,9.755585791E-1
3.670333333E-1,1.735851695E-1,3.059639810E-1,1.076096742E0
4.004000000E-1,2.072315159E-1,2.898515923E-1,1.202297723E0
4.337666667E-1,2.422160403E-1,2.644044865E-1,1.350423164E0
4.671333333E-1,2.807711233E-1,2.377629835E-1,1.483981442E0
5.005000000E-1,3.228818132E-1,2.069573141E-1,1.641701812E0
5.338666667E-1,3.678845242E-1,1.713263681E-1,1.762471534E0
5.672333333E-1,4.189169979E-1,1.390553793E-1,1.883846037E0
6.006000000E-1,4.765218144E-1,1.080627749E-1,1.990136589E0
6.339666667E-1,5.405666120E-1,8.576883895E-2,2.063259024E0
6.673333333E-1,6.088724224E-1,7.009774050E-2,2.118317175E0
7.007000000E-1,6.801713376E-1,6.354634690E-2,2.137697106E0
7.340666667E-1,7.512697427E-1,6.151644560E-2,2.134478577E0
7.674333333E-1,8.226108064E-1,6.291447742E-2,2.121881573E0
8.008000000E-1,8.924245849E-1,7.273855634E-2,2.083155071E0
8.341666667E-1,9.590943143E-1,8.932787260E-2,2.021284684E0
8.675333333E-1,1.021580132E0,1.116405459E-1,1.943194190E0
9.009000000E-1,1.078744385E0,1.393246756E-1,1.837445839E0
9.342666667E-1,1.132740254E0,1.633978489E-1,1.739294534E0
9.676333333E-1,1.184815793E0,1.864505819E-1,1.662513499E0
1.001000000E0,1.235843579E0,2.043675014E-1,1.589045461E0
1.034366667E0,1.285177333E0,2.206928174E-1,1.510004463E0
1.067733333E0,1.332020235E0,2.344368592E-1,1.450669400E0
1.101100000E0,1.378238300E0,2.473657668E-1,1.428331390E0
1.134466667E0,1.423881145E0,2.598723422E-1,
